№,Продукт,"Дни просрочки",Сцепка,"Вероятность взыскания","Ставка резерва",База,"Расчет суммы",Потери,База,Расчет,Потери,"Истина/ Ложь для резерва по стандартному сценарию","Истина/ Ложь для резерва по сценарию реструктуризации"
465,Автокредиты,464,Автокредиты464,0.06389132209104,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
466,Автокредиты,465,Автокредиты465,0.06389132209104,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
467,Автокредиты,466,Автокредиты466,0.06389132209104,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
468,Автокредиты,467,Автокредиты467,0.06389132209104,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
469,Автокредиты,468,Автокредиты468,0.06389132209104,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
470,Автокредиты,469,Автокредиты469,0.06389132209104,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
471,Автокредиты,470,Автокредиты470,0.06389132209104,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
472,Автокредиты,471,Автокредиты471,0.06389132209104,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
473,Автокредиты,472,Автокредиты472,0.06389132209104,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
474,Автокредиты,473,Автокредиты473,0.06389132209104,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
475,Автокредиты,474,Автокредиты474,0.06389132209104,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
476,Автокредиты,475,Автокредиты475,0.06389132209104,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
477,Автокредиты,476,Автокредиты476,0.06389132209104,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
478,Автокредиты,477,Автокредиты477,0.06389132209104,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
479,Автокредиты,478,Автокредиты478,0.06389132209104,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
480,Автокредиты,479,Автокредиты479,0.06389132209104,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
481,Автокредиты,480,Автокредиты480,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
482,Автокредиты,481,Автокредиты481,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
483,Автокредиты,482,Автокредиты482,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
484,Автокредиты,483,Автокредиты483,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
485,Автокредиты,484,Автокредиты484,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
486,Автокредиты,485,Автокредиты485,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
487,Автокредиты,486,Автокредиты486,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
488,Автокредиты,487,Автокредиты487,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
489,Автокредиты,488,Автокредиты488,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
490,Автокредиты,489,Автокредиты489,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
491,Автокредиты,490,Автокредиты490,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
492,Автокредиты,491,Автокредиты491,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
493,Автокредиты,492,Автокредиты492,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
494,Автокредиты,493,Автокредиты493,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
495,Автокредиты,494,Автокредиты494,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
496,Автокредиты,495,Автокредиты495,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
497,Автокредиты,496,Автокредиты496,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
498,Автокредиты,497,Автокредиты497,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
499,Автокредиты,498,Автокредиты498,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
500,Автокредиты,499,Автокредиты499,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
501,Автокредиты,500,Автокредиты500,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
502,Автокредиты,501,Автокредиты501,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
503,Автокредиты,502,Автокредиты502,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
504,Автокредиты,503,Автокредиты503,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
505,Автокредиты,504,Автокредиты504,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
506,Автокредиты,505,Автокредиты505,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
507,Автокредиты,506,Автокредиты506,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
508,Автокредиты,507,Автокредиты507,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
509,Автокредиты,508,Автокредиты508,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
510,Автокредиты,509,Автокредиты509,0.05713331594283,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
511,Автокредиты,510,Автокредиты510,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
512,Автокредиты,511,Автокредиты511,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
513,Автокредиты,512,Автокредиты512,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
514,Автокредиты,513,Автокредиты513,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
515,Автокредиты,514,Автокредиты514,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
516,Автокредиты,515,Автокредиты515,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
517,Автокредиты,516,Автокредиты516,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
518,Автокредиты,517,Автокредиты517,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
519,Автокредиты,518,Автокредиты518,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
520,Автокредиты,519,Автокредиты519,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
521,Автокредиты,520,Автокредиты520,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
522,Автокредиты,521,Автокредиты521,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
523,Автокредиты,522,Автокредиты522,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
524,Автокредиты,523,Автокредиты523,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
525,Автокредиты,524,Автокредиты524,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
526,Автокредиты,525,Автокредиты525,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
527,Автокредиты,526,Автокредиты526,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
528,Автокредиты,527,Автокредиты527,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
529,Автокредиты,528,Автокредиты528,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
530,Автокредиты,529,Автокредиты529,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
531,Автокредиты,530,Автокредиты530,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
532,Автокредиты,531,Автокредиты531,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
533,Автокредиты,532,Автокредиты532,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
534,Автокредиты,533,Автокредиты533,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
535,Автокредиты,534,Автокредиты534,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
536,Автокредиты,535,Автокредиты535,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
537,Автокредиты,536,Автокредиты536,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
538,Автокредиты,537,Автокредиты537,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
539,Автокредиты,538,Автокредиты538,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
540,Автокредиты,539,Автокредиты539,0.04566816852998,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
541,Автокредиты,540,Автокредиты540,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
542,Автокредиты,541,Автокредиты541,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
543,Автокредиты,542,Автокредиты542,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
544,Автокредиты,543,Автокредиты543,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
545,Автокредиты,544,Автокредиты544,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
546,Автокредиты,545,Автокредиты545,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
547,Автокредиты,546,Автокредиты546,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
548,Автокредиты,547,Автокредиты547,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
549,Автокредиты,548,Автокредиты548,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
550,Автокредиты,549,Автокредиты549,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
551,Автокредиты,550,Автокредиты550,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
552,Автокредиты,551,Автокредиты551,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
553,Автокредиты,552,Автокредиты552,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
554,Автокредиты,553,Автокредиты553,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
555,Автокредиты,554,Автокредиты554,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
556,Автокредиты,555,Автокредиты555,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
557,Автокредиты,556,Автокредиты556,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
558,Автокредиты,557,Автокредиты557,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
559,Автокредиты,558,Автокредиты558,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
560,Автокредиты,559,Автокредиты559,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
561,Автокредиты,560,Автокредиты560,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
562,Автокредиты,561,Автокредиты561,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
563,Автокредиты,562,Автокредиты562,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
564,Автокредиты,563,Автокредиты563,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
565,Автокредиты,564,Автокредиты564,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
566,Автокредиты,565,Автокредиты565,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
567,Автокредиты,566,Автокредиты566,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
568,Автокредиты,567,Автокредиты567,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
569,Автокредиты,568,Автокредиты568,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
570,Автокредиты,569,Автокредиты569,0.03320692420604,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
571,Автокредиты,570,Автокредиты570,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
572,Автокредиты,571,Автокредиты571,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
573,Автокредиты,572,Автокредиты572,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
574,Автокредиты,573,Автокредиты573,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
575,Автокредиты,574,Автокредиты574,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
576,Автокредиты,575,Автокредиты575,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
577,Автокредиты,576,Автокредиты576,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
578,Автокредиты,577,Автокредиты577,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
579,Автокредиты,578,Автокредиты578,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
580,Автокредиты,579,Автокредиты579,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
581,Автокредиты,580,Автокредиты580,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
582,Автокредиты,581,Автокредиты581,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
583,Автокредиты,582,Автокредиты582,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
584,Автокредиты,583,Автокредиты583,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
585,Автокредиты,584,Автокредиты584,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
586,Автокредиты,585,Автокредиты585,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
587,Автокредиты,586,Автокредиты586,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
588,Автокредиты,587,Автокредиты587,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
589,Автокредиты,588,Автокредиты588,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
590,Автокредиты,589,Автокредиты589,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
591,Автокредиты,590,Автокредиты590,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
592,Автокредиты,591,Автокредиты591,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
593,Автокредиты,592,Автокредиты592,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
594,Автокредиты,593,Автокредиты593,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
595,Автокредиты,594,Автокредиты594,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
596,Автокредиты,595,Автокредиты595,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
597,Автокредиты,596,Автокредиты596,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
598,Автокредиты,597,Автокредиты597,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
599,Автокредиты,598,Автокредиты598,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
600,Автокредиты,599,Автокредиты599,0.03179402745358,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
601,Автокредиты,600,Автокредиты600,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
602,Автокредиты,601,Автокредиты601,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
603,Автокредиты,602,Автокредиты602,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
604,Автокредиты,603,Автокредиты603,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
605,Автокредиты,604,Автокредиты604,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
606,Автокредиты,605,Автокредиты605,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
607,Автокредиты,606,Автокредиты606,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
608,Автокредиты,607,Автокредиты607,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
609,Автокредиты,608,Автокредиты608,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
610,Автокредиты,609,Автокредиты609,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
611,Автокредиты,610,Автокредиты610,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
612,Автокредиты,611,Автокредиты611,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
613,Автокредиты,612,Автокредиты612,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
614,Автокредиты,613,Автокредиты613,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
615,Автокредиты,614,Автокредиты614,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
616,Автокредиты,615,Автокредиты615,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
617,Автокредиты,616,Автокредиты616,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
618,Автокредиты,617,Автокредиты617,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
619,Автокредиты,618,Автокредиты618,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
620,Автокредиты,619,Автокредиты619,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
621,Автокредиты,620,Автокредиты620,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
622,Автокредиты,621,Автокредиты621,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
623,Автокредиты,622,Автокредиты622,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
624,Автокредиты,623,Автокредиты623,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
625,Автокредиты,624,Автокредиты624,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
626,Автокредиты,625,Автокредиты625,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
627,Автокредиты,626,Автокредиты626,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
628,Автокредиты,627,Автокредиты627,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
629,Автокредиты,628,Автокредиты628,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
630,Автокредиты,629,Автокредиты629,0.02493763874608,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
631,Автокредиты,630,Автокредиты630,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
632,Автокредиты,631,Автокредиты631,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
633,Автокредиты,632,Автокредиты632,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
634,Автокредиты,633,Автокредиты633,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
635,Автокредиты,634,Автокредиты634,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
636,Автокредиты,635,Автокредиты635,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
637,Автокредиты,636,Автокредиты636,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
638,Автокредиты,637,Автокредиты637,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
639,Автокредиты,638,Автокредиты638,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
640,Автокредиты,639,Автокредиты639,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
641,Автокредиты,640,Автокредиты640,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
642,Автокредиты,641,Автокредиты641,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
643,Автокредиты,642,Автокредиты642,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
644,Автокредиты,643,Автокредиты643,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
645,Автокредиты,644,Автокредиты644,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
646,Автокредиты,645,Автокредиты645,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
647,Автокредиты,646,Автокредиты646,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
648,Автокредиты,647,Автокредиты647,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
649,Автокредиты,648,Автокредиты648,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
650,Автокредиты,649,Автокредиты649,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
651,Автокредиты,650,Автокредиты650,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
652,Автокредиты,651,Автокредиты651,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
653,Автокредиты,652,Автокредиты652,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
654,Автокредиты,653,Автокредиты653,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
655,Автокредиты,654,Автокредиты654,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
656,Автокредиты,655,Автокредиты655,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
657,Автокредиты,656,Автокредиты656,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
658,Автокредиты,657,Автокредиты657,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
659,Автокредиты,658,Автокредиты658,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
660,Автокредиты,659,Автокредиты659,0.01961324250983,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
661,Автокредиты,660,Автокредиты660,0.01230565388457,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
662,Автокредиты,661,Автокредиты661,0.01230565388457,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
663,Автокредиты,662,Автокредиты662,0.01230565388457,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
664,Автокредиты,663,Автокредиты663,0.01230565388457,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
665,Автокредиты,664,Автокредиты664,0.01230565388457,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
666,Автокредиты,665,Автокредиты665,0.01230565388457,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
667,Автокредиты,666,Автокредиты666,0.01230565388457,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
668,Автокредиты,667,Автокредиты667,0.01230565388457,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
669,Автокредиты,668,Автокредиты668,0.01230565388457,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
670,Автокредиты,669,Автокредиты669,0.01230565388457,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
671,Автокредиты,670,Автокредиты670,0.01230565388457,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
672,Автокредиты,671,Автокредиты671,0.01230565388457,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
673,Автокредиты,672,Автокредиты672,0.01230565388457,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
674,Автокредиты,673,Автокредиты673,0.01230565388457,0.7114,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
